Month,EmployeeName,AverageChatTickets,AverageCallTickets,FirstContactResolutionRate
1/1/2021,employee1,10,6,0.81
1/1/2021,employee2,13,8,0.84
1/1/2021,employee3,15,8,0.56
1/1/2021,employee5,11,8,0.79
1/1/2021,employee4,16,12,0.77
2/1/2021,employee4,19,15,0.7
2/1/2021,employee5,12,9,0.77
2/1/2021,employee2,21,10,0.77
2/1/2021,employee1,15,8,0.76
2/1/2021,employee3,16,13,0.4
3/1/2021,employee1,18,11,0.7
3/1/2021,employee2,16,12,0.7
3/1/2021,employee3,18,15,0.45
3/1/2021,employee5,11,10,0.74
3/1/2021,employee4,18,18,0.67
4/1/2021,employee5,11,8,0.82
4/1/2021,employee4,24,24,0.62
4/1/2021,employee1,16,10,0.62
4/1/2021,employee3,16,16,0.41
4/1/2021,employee2,17,17,0.7
5/1/2021,employee4,28,36,0.47
5/1/2021,employee5,11,8,0.82
5/1/2021,employee3,16,14,0.35
5/1/2021,employee2,19,17,0.62
5/1/2021,employee1,24,18,0.51
6/1/2021,employee1,22,22,0.62
6/1/2021,employee2,20,14,0.64
6/1/2021,employee3,16,19,0.38
6/1/2021,employee5,11,8,0.82
6/1/2021,employee4,18,29,0.51
